location_lat,location_lng
24.5801,-81.6829
25.6423,-80.4347
25.995,-81.6725
25.9995,-80.2412
26.0711,-97.1577
26.0787,-80.1622
26.1554,-81.7746
26.1758,-98.2386
26.199,-80.1776
26.3785,-80.1077
26.4338,-81.4014
26.9185,-81.9939
27.2067,-98.1211
27.2663,-80.8487
27.3496,-98.7369
27.4014,-82.5586
27.4981,-80.3767
27.5031,-97.8117
27.7734,-97.513
27.778,-97.6878
27.8118,-97.0888
27.8493,-82.5212
27.8947,-98.0425
28.0013,-82.1593
28.0614,-81.7568
28.2422,-80.608
28.2924,-81.4372
28.4676,-80.5666
28.4739,-82.4537
28.5148,-80.7992
28.6516,-96.682
28.7248,-96.2535
28.7797,-81.2436
28.804,-82.318
28.9444,-81.9701
28.9562,-98.5184
29.1637,-82.221
29.3009,-81.111
29.354,-89.4359
29.3594,-99.1742
29.3665,-100.7847
29.4674,-81.2063
29.5189,-95.2417
29.6073,-95.1587
29.6223,-95.6565
29.6334,-83.1054
29.6342,-104.3615
29.6375,-95.2824
29.6917,-82.276
29.6931,-91.0986
29.714,-95.395
29.7239,-98.6946
29.7268,-85.0248
29.78,-93.3
29.805,-95.8979
29.8374,-90.0245
29.8958,-97.8664
29.9521,-94.0261
29.9526,-90.0826
29.9592,-81.341
29.9761,-92.0825
29.9928,-90.2508
30.0333,-85.5333
30.0481,-102.2131
30.0494,-90.0289
30.0644,-85.5637
30.068,-95.5562
30.1314,-93.3761
30.1838,-82.5684
30.2106,-93.1432
30.2115,-91.981
30.2129,-81.8707
30.2189,-96.3742
30.2347,-81.6746
30.2427,-92.6735
30.2432,-98.9092
30.2896,-87.6718
30.3371,-81.5127
30.349,-85.788
30.3564,-87.3233
30.3678,-89.4547
30.3891,-87.6353
30.3925,-97.5621
30.3934,-86.4674
30.3959,-81.4229
30.4104,-88.9244
30.4278,-86.6893
30.4412,-93.4735
30.4628,-88.5292
30.4781,-87.1869
30.4833,-86.5254
30.4953,-81.6937
30.5155,-96.7041
30.5208,-90.4175
30.5378,-91.1468
30.5857,-100.6486
30.5881,-96.3639
30.5979,-84.5574
30.6118,-81.4612
30.6268,-88.0681
30.6883,-88.2456
30.7285,-87.0219
30.7311,-86.1538
30.7406,-98.2353
30.7439,-95.5861
30.7763,-83.2739
30.8137,-89.865
30.8857,-94.0349
30.9791,-83.1925
31.0217,-92.9107
31.0425,-86.3117
31.0448,-93.1916
31.1059,-98.1975
31.1106,-93.1533
31.1387,-97.7145
31.1793,-99.3239
31.2767,-85.711
31.3087,-86.3938
31.3213,-85.4496
31.3347,-92.5586
31.346,-85.6543
31.3514,-100.4939
31.3975,-84.8948
31.4208,-110.8458
31.429,-83.489
31.4584,-109.6068
31.4671,-89.3371
31.5365,-84.1957
31.5401,-82.5074
31.5778,-94.7094
31.5883,-110.3442
31.6056,-110.4281
31.7801,-103.2018
31.8111,-106.3758
31.8411,-99.4036
31.8606,-86.0122
31.8612,-106.3692
31.8693,-95.2174
31.8798,-106.6973
31.9206,-102.3867
32.1108,-84.1888
32.1314,-81.2023
32.1927,-82.3712
32.2126,-101.5216
32.214,-83.128
32.2153,-98.1777
32.2393,-90.9284
32.2593,-107.7205
32.3311,-102.5294
32.3335,-108.6917
32.3347,-88.7511
32.3537,-97.4338
32.4113,-99.6819
32.4122,-80.6344
32.4444,-97.8169
32.4469,-93.8242
32.4774,-80.7232
32.5144,-92.5883
32.5161,-84.9422
32.5205,-94.3078
32.5425,-93.7447
32.5521,-88.5556
32.5633,-82.9854
32.5652,-97.3081
32.567,-84.251
32.5723,-116.9802
32.5832,-96.7209
32.6091,-82.3699
32.646,-93.298
32.6809,-96.8682
32.6875,-103.217
32.6889,-83.6529
32.7092,-96.2674
32.719,-98.891
32.7339,-117.1845
32.747,-96.5304
32.78,-97.43
32.7816,-98.0602
32.8157,-117.1396
32.8274,-116.9737
32.835,-97.2986
32.8524,-104.4644
32.8542,-96.8551
32.8974,-97.022
32.8978,-79.7829
32.9147,-85.9628
32.9322,-96.4348
32.9539,-84.2594
32.9733,-97.3181
33.0062,-85.0661
33.0375,-116.9158
33.0678,-96.0653
33.0956,-94.9614
33.1283,-117.2801
33.1753,-97.8283
33.1783,-86.7817
33.205,-97.2006
33.2122,-87.6155
33.2194,-117.3494
33.227,-84.275
33.2367,-107.2681
33.2691,-111.8111
33.3116,-84.7698
33.3117,-79.3196
33.3644,-81.9633
33.4204,-112.6862
33.4224,-112.3736
33.4503,-88.5914
33.4568,-80.8595
33.5281,-112.2926
33.5297,-82.5164
33.5655,-86.7449
33.587,-80.209
33.5904,-85.8479
33.5978,-83.1389
33.6011,-97.7735
33.6123,-111.9232
33.6192,-114.7169
33.6267,-116.1594
33.6325,-83.8496
33.636,-91.7555
33.6438,-88.4438
33.6514,-97.1969
33.6637,-101.8206
33.6797,-78.9283
33.6798,-117.8674
33.7141,-96.6737
33.7611,-90.7579
33.7797,-82.8164
33.8162,-78.7204
33.8222,-116.5043
33.8285,-79.1222
33.9,-117.25
33.902,-87.314
33.912,-84.941
33.9208,-80.8013
33.9292,-78.0722
33.9333,-116.9667
33.9382,-118.3865
33.9422,-96.3944
33.9423,-81.118
33.953,-117.4349
33.9727,-80.4706
33.9753,-117.6361
33.9829,-83.9584
33.9829,-83.6674
33.995,-80.3613
34.0147,-84.5964
34.0314,-95.5398
34.047,-94.3994
34.0928,-117.7794
34.095,-82.8158
34.0997,-93.0661
34.1,-105.6833
34.1436,-103.4109
34.1469,-97.1225
34.174,-83.5607
34.181,-79.335
34.1878,-79.7308
34.1997,-118.3654
34.2156,-118.4917
34.2257,-99.2837
34.2291,-86.2558
34.257,-111.339
34.2593,-118.4134
34.2622,-88.7713
34.2638,-116.856
34.2687,-86.858
34.2719,-83.8303
34.2753,-78.7146
34.294,-116.1472
34.2997,-90.5123
34.3007,-97.0089
34.3061,-81.6414
34.3122,-84.4222
34.3444,-98.9831
34.3478,-85.1611
34.3828,-103.3221
34.3983,-96.1481
34.4227,-103.0802
34.4241,-119.8425
34.4275,-100.2833
34.4778,-97.9616
34.4978,-82.7097
34.5071,-81.9472
34.5453,-94.2025
34.5666,-117.6704
34.5975,-117.383
34.5995,-91.575
34.6042,-78.579
34.6069,-120.0756
34.6217,-79.7344
34.6294,-118.0831
34.6439,-86.7861
34.6449,-98.4033
34.6452,-106.8337
34.6491,-112.4223
34.6525,-86.9453
34.6722,-82.8814
34.6811,-90.3467
34.694,-77.0294
34.6986,-99.3381
34.7217,-84.8689
34.7273,-92.2357
34.7275,-120.5783
34.7439,-87.5996
34.7913,-79.3683
34.81,-82.7029
34.8468,-111.7884
34.8536,-116.7858
34.8822,-95.7831
34.8839,-82.2208
34.9054,-117.8837
34.915,-88.6035
34.9157,-81.9565
34.9168,-92.1465
34.9787,-89.7869
34.9837,-105.9958
34.9878,-81.0572
34.9908,-117.8631
34.9994,-77.98
35.0147,-80.6242
35.0222,-76.4625
35.028,-110.722
35.0353,-85.2038
35.0417,-106.6147
35.1314,-78.9316
35.145,-106.795
35.1575,-114.5594
35.1775,-86.0662
35.1969,-81.1555
35.2202,-101.7173
35.2225,-80.9543
35.2322,-75.6225
35.2435,-97.4708
35.2556,-81.5986
35.2578,-113.9331
35.2805,-116.63
35.3335,-94.3652
35.3567,-99.2036
35.3567,-89.8703
35.3886,-97.6003
35.3896,-80.7074
35.4147,-97.3866
35.4282,-81.9351
35.4319,-82.5375
35.4381,-94.8028
35.4606,-77.9649
35.4728,-98.0058
35.4833,-81.1612
35.5342,-97.6471
35.5544,-87.1791
35.5705,-77.0498
35.5825,-79.1014
35.613,-100.9963
35.643,-91.1735
35.6442,-80.5236
35.6558,-105.1385
35.6575,-109.0614
35.6577,-95.3658
35.6667,-75.9
35.6681,-95.9486
35.6694,-120.6291
35.695,-101.395
35.7238,-96.8203
35.7422,-81.3822
35.7636,-80.9473
35.799,-107.181
35.818,-83.9857
35.8502,-77.8952
35.8628,-98.4225
35.889,-101.03
35.8922,-78.7819
35.9301,-95.0025
35.9373,-77.5465
35.947,-114.861
35.9499,-96.7731
35.9643,-89.9439
35.9766,-115.1322
35.998,-89.4066
36.009,-86.5201
36.0103,-94.1678
36.0229,-78.3341
36.0252,-102.5487
36.0277,-76.5671
36.0296,-119.0627
36.0425,-95.99
36.0475,-79.4737
36.0969,-79.9432
36.1256,-90.9215
36.1335,-80.2244
36.1919,-94.49
36.1986,-81.6517
36.2188,-81.1002
36.2362,-115.0343
36.2577,-76.1716
36.285,-78.9842
36.2898,-94.3114
36.2925,-92.5851
36.3115,-119.6231
36.3444,-94.2211
36.3635,-78.5289
36.3712,-82.1734
36.3792,-97.7911
36.3797,-88.9857
36.4042,-90.6479
36.4129,-100.7516
36.4324,-81.4197
36.4367,-99.5208
36.4395,-77.7093
36.4483,-103.1537
36.4567,-80.5548
36.4582,-105.6724
36.4797,-82.3989
36.5729,-79.3361
36.5857,-115.6901
36.5905,-121.8487
36.6005,-121.8714
36.605,-94.7383
36.6207,-116.0287
36.6272,-80.0133
36.6541,-83.2178
36.6636,-121.6081
36.6646,-88.3728
36.6686,-87.4962
36.6817,-101.5053
36.695,-76.1356
36.6985,-93.4022
36.7003,-76.9021
36.7311,-97.0997
36.7436,-108.2293
36.7451,-97.3496
36.7732,-98.6699
36.78,-119.7194
36.7801,-76.4488
36.8211,-76.0283
36.8553,-84.8561
36.8593,-83.3585
36.8792,-91.9052
36.8933,-121.4103
36.8949,-81.3499
36.9211,-111.4487
36.9599,-113.0139
36.9645,-86.4197
37.0318,-85.9537
37.0442,-100.9599
37.0513,-84.6168
37.1322,-76.494
37.1325,-76.6088
37.1522,-94.4952
37.1824,-88.7489
37.2076,-80.4078
37.2839,-98.5528
37.2848,-120.5139
37.3169,-79.9742
37.3262,-79.2028
37.3278,-95.5042
37.3711,-118.3581
37.3805,-120.5682
37.4059,-122.049
37.4066,-77.5224
37.4393,-105.8618
37.4514,-106.8003
37.5211,-76.7647
37.5828,-109.4831
37.5913,-83.3137
37.6004,-81.5593
37.6122,-114.5264
37.6255,-120.9549
37.6469,-75.7611
37.6705,-95.4846
37.7388,-87.1668
37.7497,-97.2191
37.7833,-89.2453
37.7873,-81.1242
37.8128,-88.5449
37.8583,-80.3995
37.8606,-76.9016
37.9071,-85.9721
37.9372,-75.4662
37.9514,-79.8339
37.9538,-107.9085
37.974,-92.691
37.9917,-122.0519
38.0097,-77.97
38.0339,-84.6115
38.0431,-87.5203
38.0505,-117.0904
38.0575,-83.9829
38.0655,-97.8606
38.0887,-88.1213
38.1005,-92.5474
38.1319,-91.7653
38.1374,-78.4552
38.1418,-122.5546
38.1462,-89.7024
38.1744,-85.736
38.1847,-84.9033
38.2132,-122.2807
38.228,-85.6637
38.239,-108.5668
38.2578,-122.6053
38.2638,-78.8964
38.2662,-77.4494
38.2667,-121.95
38.3104,-75.124
38.3154,-76.5501
38.3284,-88.8529
38.3405,-75.5103
38.3566,-93.6842
38.365,-82.555
38.3775,-121.9585
38.3794,-81.5914
38.3981,-77.4555
38.428,-105.1058
38.5315,-121.7865
38.5388,-106.0494
38.5393,-76.0304
38.5452,-89.8352
38.56,-121.284
38.5912,-92.1561
38.6093,-87.7251
38.6672,-78.5011
38.6869,-80.6517
38.6897,-75.3624
38.7004,-87.1297
38.7007,-121.5948
38.7213,-88.1799
38.7214,-77.5154
38.7303,-93.5479
38.75,-104.85
38.7501,-109.7626
38.7525,-90.3734
38.7605,-87.599
38.7842,-93.8029
38.8042,-97.6488
38.8042,-76.069
38.8142,-106.1207
38.8309,-94.8903
38.8391,-99.2742
38.85,-76.93
38.9092,-121.3513
38.9467,-92.6827
38.9509,-95.6636
38.9597,-94.3714
38.9767,-76.33
39.0,-110.1667
39.001,-80.2712
39.0503,-105.5144
39.0559,-96.7617
39.0712,-88.5292
39.1021,-121.5688
39.1342,-108.54
39.1361,-121.4366
39.1435,-78.1444
39.1605,-89.6742
39.1733,-76.684
39.1906,-119.7319
39.2281,-106.3161
39.2299,-106.8705
39.2415,-102.2819
39.2953,-114.8466
39.2966,-80.2281
39.2972,-94.7306
39.3215,-76.4065
39.3612,-84.5206
39.3662,-75.0778
39.3747,-99.8297
39.4037,-77.975
39.4166,-118.701
39.4177,-77.3698
39.4256,-107.3792
39.4429,-87.3221
39.4743,-88.2723
39.4752,-106.1523
39.5078,-119.7682
39.5279,-107.7196
39.5513,-97.6508
39.5599,-104.8484
39.6014,-116.0056
39.6083,-77.0077
39.6089,-110.7555
39.6182,-78.7598
39.645,-77.468
39.6682,-119.8764
39.6982,-87.6669
39.7252,-91.4439
39.7252,-86.2816
39.7341,-77.4304
39.7719,-94.9097
39.774,-90.2419
39.7852,-104.5431
39.7988,-121.858
39.8138,-82.9278
39.825,-86.2958
39.8308,-88.8719
39.8403,-83.8402
39.8435,-85.8971
39.8466,-104.6562
39.9008,-105.1042
39.9012,-83.1369
39.9061,-84.2186
39.9194,-76.8769
39.9275,-74.2924
39.9371,-91.1966
39.9444,-81.8921
40.0117,-105.0503
40.0156,-74.5917
40.0366,-74.3525
40.0536,-106.3689
40.0788,-95.592
40.0789,-75.0134
40.0966,-92.547
40.1061,-85.6098
40.1365,-80.2902
40.1493,-97.5872
40.1519,-122.2548
40.1589,-89.3389
40.1743,-103.2146
40.175,-80.6463
40.1822,-74.1207
40.2192,-111.7234
40.2768,-74.8159
40.2797,-83.1148
40.2895,-88.1473
40.3149,-78.8307
40.3302,-75.1229
40.3552,-79.9214
40.3734,-75.9593
40.443,-109.5127
40.449,-106.7492
40.4518,-105.0113
40.4615,-91.4274
40.4719,-81.4236
40.4774,-111.433
40.4774,-88.9143
40.4812,-107.2177
40.4814,-80.2083
40.4899,-85.6797
40.493,-107.5239
40.5146,-122.2977
40.5176,-90.6481
40.5282,-86.059
40.5704,-75.4894
40.6,-116.8667
